<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.28	02:08:00	42265.21	42266.21	42259.71	42262.21	33	0	278
2025.03.28	02:09:00	42261.71	42262.21	42257.21	42259.71	25	0	278
2025.03.28	02:10:00	42260.71	42267.71	42260.71	42266.71	22	0	278
2025.03.28	02:11:00	42267.21	42270.21	42260.21	42260.71	35	0	278
2025.03.28	02:12:00	42260.21	42260.21	42253.71	42257.71	36	0	278
2025.03.28	02:13:00	42258.21	42268.21	42258.21	42267.21	34	0	278
2025.03.28	02:14:00	42266.71	42270.21	42265.21	42267.21	28	0	278
2025.03.28	02:15:00	42266.71	42271.71	42265.71	42268.21	30	0	278
2025.03.28	02:16:00	42268.71	42268.71	42258.21	42263.21	41	0	278
2025.03.28	02:17:00	42261.21	42266.21	42261.21	42264.71	20	0	278
2025.03.28	02:18:00	42266.21	42279.71	42266.21	42275.71	29	0	278
2025.03.28	02:19:00	42276.71	42276.71	42269.21	42269.21	22	0	278
2025.03.28	02:20:00	42269.71	42275.21	42269.21	42275.21	34	0	278
2025.03.28	02:21:00	42276.21	42276.21	42271.21	42273.21	38	0	278
2025.03.28	02:22:00	42272.71	42273.21	42269.21	42270.21	18	0	278
2025.03.28	02:23:00	42269.71	42270.81	42266.31	42269.81	32	0	268
2025.03.28	02:24:00	42271.31	42272.81	42269.31	42270.81	18	0	268
2025.03.28	02:25:00	42270.31	42272.31	42268.81	42268.81	20	0	268
2025.03.28	02:26:00	42269.81	42275.31	42269.81	42272.81	29	0	268
2025.03.28	02:27:00	42274.31	42274.81	42270.31	42270.31	17	0	268
2025.03.28	02:28:00	42269.81	42277.81	42269.81	42277.21	15	0	268
2025.03.28	02:29:00	42276.21	42277.31	42274.21	42276.31	38	0	268
2025.03.28	02:30:00	42276.31	42276.81	42267.71	42267.71	48	0	268
2025.03.28	02:31:00	42267.21	42272.21	42263.21	42264.71	23	0	278
2025.03.28	02:32:00	42265.21	42269.71	42260.21	42260.21	26	0	278
2025.03.28	02:33:00	42261.21	42263.21	42258.21	42263.21	32	0	278
2025.03.28	02:34:00	42261.21	42261.21	42256.21	42259.21	20	0	278
2025.03.28	02:35:00	42258.21	42264.71	42258.21	42262.21	35	0	278
2025.03.28	02:36:00	42261.21	42261.71	42257.71	42258.21	22	0	278
2025.03.28	02:37:00	42258.21	42258.21	42253.21	42256.21	41	0	278
2025.03.28	02:38:00	42256.71	42257.71	42252.71	42253.71	37	0	278
2025.03.28	02:39:00	42252.71	42257.31	42252.71	42255.81	21	0	268
